Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB_Python,Exact_Peak_Memory_MB_RSS,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB_Python,MCMC_Peak_Memory_MB_RSS,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB_Python,PT_Peak_Memory_MB_RSS,PT_Absolute_Error
bn_n20_w6_uniform.bif,20,6,uniform,0.5,0.7,X4,1,0.6824936624873235,0.01689743995666504,0.2599296569824219,0.0,0.6867000000000001,0.0001834099999999991,1.5973090648651123,0.12370014190673828,0.0,0.004206337512676628,0.6836,0.00015023999999999902,6.871189308166504,0.3394937515258789,0.0,0.0011063375126765251
bn_n20_w6_uniform.bif,20,6,uniform,0.5,0.9,X4,1,0.9184180807091923,0.018021583557128906,0.2767982482910156,0.0,0.9188000000000003,0.00013516000000000022,1.3528769493103028,0.10744190216064453,0.0,0.00038191929080799714,0.9189,4.1090000000000076e-05,5.796078896522522,0.2773599624633789,0.0,0.0004819192908077641
bn_n20_w6_uniform.bif,20,6,uniform,0.5,1.0,X4,1,1.0,0.019323348999023438,0.3074836730957031,0.0,1.0,0.0,1.9458160638809203,0.13090229034423828,0.0,0.0,1.0,0.0,8.341929316520691,0.3752908706665039,0.0,0.0
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.25,0.4,X1,1,0.4348033657082668,0.02621746063232422,0.43719005584716797,0.0,0.43340000000000006,0.00027284000000000016,0.8982054710388183,0.10264110565185547,0.0,0.0014033657082667128,0.43470000000000003,0.0002774100000000005,3.7957385778427124,0.1953268051147461,0.0,0.00010336570826674496
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.25,0.5,X1,1,0.546072173777587,0.013696670532226562,0.4387998580932617,0.0,0.542,7.040000000000013e-05,0.8724234104156494,0.09939861297607422,0.0,0.0040721737775869515,0.5517999999999998,0.00022435999999999932,3.671297287940979,0.1909933090209961,0.0,0.005727826222412857
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.25,0.7,X1,1,0.7247288650159218,0.01242208480834961,0.40137767791748047,0.0,0.724,0.00031320000000000057,0.781656551361084,0.09674358367919922,0.0,0.0007288650159218424,0.7234,9.064000000000016e-05,3.300496530532837,0.1794881820678711,0.0,0.0013288650159217763
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.25,0.9,X1,1,0.8863466873497166,0.029388427734375,0.43418407440185547,0.0,0.8881,0.0001006900000000002,0.9722547054290771,0.10331249237060547,0.0,0.001753312650283445,0.8864000000000001,9.044000000000016e-05,4.095943880081177,0.2092123031616211,0.0,5.331265028352128e-05
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.25,1.0,X1,1,1.0,0.027185440063476562,0.41306591033935547,0.0,1.0,0.0,0.9915121793746948,0.10171031951904297,0.0,0.0,1.0,0.0,4.159565329551697,0.21810054779052734,0.0,0.0
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.5,0.4,X1,1,0.379866083598821,0.015471935272216797,0.3865385055541992,0.0,0.3816,0.00022443999999999996,0.9766110181808472,0.10994243621826172,0.0,0.001733916401178981,0.3842,0.0002331600000000004,4.080426621437073,0.21628475189208984,0.0,0.004333916401178972
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.5,0.5,X1,1,0.5305059000647574,0.024400949478149414,1.3526573181152344,0.0,0.5332000000000001,0.0002795600000000005,0.936499547958374,0.10645675659179688,0.0,0.002694099935242722,0.5382,0.00014976000000000025,3.911015486717224,0.2289295196533203,0.0,0.007694099935242615
